Label;Tags
accept payments and generate invoice;accept<>A, payments<>BO, and<>X, generate<>A, invoice<>BO, 
accept project;accept<>A, project<>BO, 
accept result;accept<>A, result<>BO, 
accept solution in ticket;accept<>A, solution<>BO, in<>X, ticket<>BO, 
accept terms and conditions and create account;accept<>A, terms<>BO, and<>X, conditions<>BO, and<>X, create<>A, account<>BO, 
accept terms and conditions;accept<>A, terms<>BO, and<>X, conditions<>BO, 
acceptance of marketing plan and budget;acceptance<>A, of<>BO, marketing<>BO, plan<>BO, and<>X, budget<>BO, 
accepted order;accepted<>BO, order<>A, 
accepting the candidate and sending the letter to charles;accepting<>A, the<>X, candidate<>BO, and<>X, sending<>A, the<>X, letter<>BO, to<>X, charles<>REC, 
accepts application;accepts<>A, application<>BO, 
accepts request;accepts<>A, request<>BO, 
access capacity availability;access<>A, capacity<>BO, availability<>BO, 
access change;access<>A, change<>BO, 
access details;access<>A, details<>BO, 
access event page;access<>A, event<>BO, page<>BO, 
access event service;access<>A, event<>BO, service<>BO, 
access flight centre website;access<>A, flight<>BO, centre<>BO, website<>BO, 
access for agents;access<>A, for<>X, agents<>BO, 
access shopping cart;access<>A, shopping<>BO, cart<>BO, 
access to switchboard software;access<>A, to<>X, switchboard<>BO, software<>BO, 
accident occurs;accident<>BO, occurs<>A, 
accident;accident<>BO, 
account analysis [ a/r ];account<>BO, analysis<>A, [<>X, a/r<>BO, ]<>X, 
account assignment for settlement [ investment project ];account<>BO, assignment<>A, for<>X, settlement<>BO, [<>X, investment<>BO, project<>BO, ]<>X, 
account balance interest calculation ( g/l );account<>BO, balance<>BO, interest<>BO, calculation<>A, (<>X, g/l<>BO, )<>X, 
account balance interest calculation for general ledger;account<>BO, balance<>BO, interest<>BO, calculation<>A, for<>X, general<>BO, ledger<>BO, 
account clearing [ ap ];account<>BO, clearing<>A, [<>X, ap<>BO, ]<>X, 
account clearing [ ar ];account<>BO, clearing<>A, [<>X, ar<>BO, ]<>X, 
account clearing [ gl ];account<>BO, clearing<>A, [<>X, gl<>BO, ]<>X, 
account maintenance;account<>BO, maintenance<>A, 
account login / register;account<>BO, login<>A, /<>BO, register<>A, 
account registration request;account<>BO, registration<>BO, request<>A, 
account created;account<>BO, created<>A, 
account request received;account<>BO, request<>BO, received<>A, 
account successfully created and welcome screen;account<>BO, successfully<>ASTATE, created<>A, and<>X, welcome<>BO, screen<>BO, 
accounting;accounting<>A, 
accrual / deferral posting;accrual<>BO, /<>BO, deferral<>BO, posting<>A, 
accrual calculation in cost center accounting ( percentage method );accrual<>BO, calculation<>A, in<>X, cost<>BO, center<>BO, accounting<>BO, (<>X, percentage<>BO, method<>BO, )<>X, 
accrual calculation in cost center accounting ( target = actual method );accrual<>BO, calculation<>A, in<>X, cost<>BO, center<>BO, accounting<>BO, (<>X, target<>BO, =<>X, actual<>BO, method<>BO, )<>X, 
accrual / deferral;accrual<>A, /<>BO, deferral<>A, 
achieve invoices per vendor;achieve<>A, invoices<>BO, per<>BO, vendor<>BO, 
acknowledge;acknowledge<>A, 
acknowledge and consider;acknowledge<>A, and<>X, consider<>A, 
acknowledge and inform customer;acknowledge<>A, and<>A, inform<>A, customer<>BO, 
acknowledge outcome of request;acknowledge<>A, outcome<>BO, of<>BO, request<>BO, 
acknowledge readiness;acknowledge<>A, readiness<>BO, 
acknowledge receipt order;acknowledge<>A, receipt<>BO, order<>BO, 
acquire approval for restricted goods or firearms;acquire<>A, approval<>BO, for<>X, restricted<>BO, goods<>BO, or<>X, firearms<>BO, 
acquire budget;acquire<>A, budget<>BO, 
acquire delivery report;acquire<>A, delivery<>BO, report<>BO, 
acquire information from check in staff;acquire<>A, information<>BO, from<>X, check<>REC, in<>REC, staff<>REC, 
acquire lag bag and instruction;acquire<>A, lag<>BO, bag<>BO, and<>X, instruction<>BO, 
acquire new service;acquire<>A, new<>BO, service<>BO, 
acquire rcs e;acquire<>A, rcs<>BO, e<>BO, 
acquire stamp for refund later at trs booth;acquire<>A, stamp<>BO, for<>X, refund<>BO, later<>BO, at<>X, trs<>BO, booth<>BO, 
acquire trs eligibility decision;acquire<>A, trs<>BO, eligibility<>BO, decision<>BO, 
acquire vsdm;acquire<>A, vsdm<>BO, 
acquisition fulfillment;acquisition<>BO, fulfillment<>A, 
acquisition of a company;acquisition<>A, of<>X, a<>BO, company<>BO, 
acquisition of leased asset;acquisition<>A, of<>X, leased<>BO, asset<>BO, 
acquisition telesales;acquisition<>A, telesales<>BO, 
action plan and change management;action<>BO, plan<>A, and<>X, change<>BO, management<>A, 
activate account;activate<>A, account<>BO, 
activate billing;activate<>A, billing<>BO, 
activate billing and create one time charges;activate<>A, billing<>BO, and<>X, create<>BO, one<>BO, time<>BO, charges<>BO, 
activate billing for business partners;activate<>A, billing<>BO, for<>X, business<>BO, partners<>BO, 
activate cpe;activate<>A, cpe<>BO, 
activate ctn;activate<>A, ctn<>BO, 
activate customer specific e2e monitoring;activate<>A, customer<>BO, specific<>BO, e2e<>BO, monitoring<>BO, 
activate future material price;activate<>A, future<>BO, material<>BO, price<>BO, 
activate monsters;activate<>A, monsters<>BO, 
activate new nfc sim;activate<>A, new<>BO, nfc<>BO, sim<>BO, 
activate new nfc sim via online portal;activate<>A, new<>BO, nfc<>BO, sim<>BO, via<>BO, online<>BO, portal<>BO, 
activate nfc compliant sim;activate<>A, nfc<>BO, compliant<>BO, sim<>BO, 
activate number range;activate<>A, number<>BO, range<>BO, 
activate postpaid nfc sim;activate<>A, postpaid<>BO, nfc<>BO, sim<>BO, 
activate prepaid nfc sim;activate<>A, prepaid<>BO, nfc<>BO, sim<>BO, 
activate regular sim;activate<>A, regular<>BO, sim<>BO, 
activate replacement sim;activate<>A, replacement<>BO, sim<>BO, 
activate replacement sim online;activate<>A, replacement<>BO, sim<>BO, online<>BO, 
activate replacement sim online 2893865;activate<>A, replacement<>BO, sim<>BO, online<>BO, 2893865<>X, 
activate resources;activate<>A, resources<>BO, 
activate services;activate<>A, services<>BO, 
activate sim;activate<>A, sim<>BO, 
activate sim card through cm;activate<>A, sim<>BO, card<>BO, through<>BO, cm<>BO, 
activate simcard;activate<>A, simcard<>BO, 
activate subscription;activate<>A, subscription<>BO, 
activate suspended nfc sim;activate<>A, suspended<>BO, nfc<>BO, sim<>BO, 
activate system;activate<>A, system<>BO, 
activate the account;activate<>A, the<>X, account<>BO, 
activate user;activate<>A, user<>BO, 
activating rent adjustment ( including approval );activating<>A, rent<>BO, adjustment<>BO, (<>X, including<>BO, approval<>BO, )<>X, 
activity allocation reposting;activity<>BO, allocation<>BO, reposting<>A, 
activity allocation;activity<>BO, allocation<>A, 
activity confirmation;activity<>BO, confirmation<>A, 
activity type planning;activity<>BO, type<>BO, planning<>A, 
actual allocation of cost center costs to profitability analysis;actual<>X, allocation<>A, of<>X, cost<>BO, center<>BO, costs<>BO, to<>X, profitability<>BO, analysis<>BO, 
actual allocation of process costs to profitability analysis;actual<>X, allocation<>A, of<>X, process<>BO, costs<>BO, to<>X, profitability<>BO, analysis<>BO, 
actual cost assessment;actual<>X, cost<>BO, assessment<>A, 
actual cost distribution;actual<>X, cost<>BO, distribution<>A, 
actual cost distribution - product costs;actual<>X, cost<>BO, distribution<>A, -<>X, product<>BO, costs<>BO, 
actual data transfers on profit center;actual<>X, data<>BO, transfers<>A, on<>X, profit<>BO, center<>BO, 
actual date entry;actual<>X, date<>BO, entry<>BO, 
actual indirect activity allocation ( indirect entry );actual<>X, indirect<>BO, activity<>BO, allocation<>A, (<>X, indirect<>BO, entry<>BO, )<>X, 
actual indirect activity allocation ( manual entry );actual<>X, indirect<>BO, activity<>BO, allocation<>A, (<>X, manual<>BO, entry<>BO, )<>X, 
actual interest calculation for order;actual<>X, interest<>BO, calculation<>A, for<>X, order<>BO, 
actual overhead costing;actual<>X, overhead<>BO, costing<>A, 
actual periodic reposting;actual<>X, periodic<>BO, reposting<>A, 
actual posting;actual<>X, posting<>A, 
actual price calculation;actual<>X, price<>BO, calculation<>A, 
actual process cost allocation;actual<>X, process<>BO, cost<>BO, allocation<>BO, 
actual profit center assessment;actual<>X, profit<>BO, center<>BO, assessment<>A, 
actual results analysis;actual<>X, results<>BO, analysis<>A, 
actual settlement;actual<>X, settlement<>A, 
actual top-down distribution;actual<>X, top-down<>X, distribution<>A, 
actual transfer of additional balance sheet items to ec-pca;actual<>X, transfer<>A, of<>X, additional<>BO, balance<>BO, sheet<>BO, items<>BO, to<>X, ec-pca<>REC, 
adapt price list;adapt<>A, price<>BO, list<>BO, 
adapt quarterly promo proposal;adapt<>A, quarterly<>BO, promo<>BO, proposal<>BO, 
adapt service configuration;adapt<>A, service<>BO, configuration<>BO, 
adapt wla;adapt<>A, wla<>BO, 
add / modify document;add<>A, /<>BO, modify<>A, document<>BO, 
add a personal message;add<>A, a<>BO, personal<>BO, message<>BO, 
add all monsters to waiting bag;add<>A, all<>BO, monsters<>BO, to<>X, waiting<>REC, bag<>REC, 
add amount to be paid to gemini;add<>A, amount<>BO, to<>X, be<>X, paid<>BO, to<>X, gemini<>REC, 
add article items in sap;add<>A, article<>BO, items<>BO, in<>X, sap<>REC, 
add change request to cab agenda;add<>A, change<>BO, request<>BO, to<>X, cab<>REC, agenda<>REC, 
add changes on the product catalogue;add<>A, changes<>BO, on<>X, the<>X, product<>BO, catalogue<>BO, 
add child;add<>A, child<>BO, 
add club name;add<>A, club<>BO, name<>BO, 
add clubs;add<>A, clubs<>BO, 
add contacts into the group;add<>A, contacts<>BO, into<>X, the<>X, group<>BO, 
add contract to database & start contract fulfilment;add<>A, contract<>BO, to<>X, database<>REC, &<>BO, start<>BO, contract<>BO, fulfilment<>BO, 
add cpe to stock;add<>A, cpe<>BO, to<>X, stock<>REC, 
add created cases to correct worklist;add<>A, created<>BO, cases<>BO, to<>X, correct<>REC, worklist<>REC, 
add credit note;add<>A, credit<>BO, note<>BO, 
add credit note and update retour report;add<>A, credit<>BO, note<>BO, and<>X, update<>BO, retour<>BO, report<>BO, 
add ctn to the acl;add<>A, ctn<>BO, to<>X, the<>X, acl<>REC, 
add ctn to vpn;add<>A, ctn<>BO, to<>X, vpn<>REC, 
add customer information;add<>A, customer<>BO, information<>BO, 
add customer to agilent tooling;add<>A, customer<>BO, to<>X, agilent<>REC, tooling<>REC, 
add customer to airwatch;add<>A, customer<>BO, to<>X, airwatch<>REC, 
add datai;add<>A, datai<>BO, 
add datail;add<>A, datail<>BO, 
add dates to calendars;add<>A, dates<>BO, to<>X, calendars<>REC, 
add detail;add<>A, detail<>BO, 
add details;add<>A, details<>BO, 
add device to stock;add<>A, device<>BO, to<>X, stock<>REC, 
add devices in sap;add<>A, devices<>BO, in<>X, sap<>REC, 
add divisions;add<>A, divisions<>BO, 
add draft dates;add<>A, draft<>BO, dates<>BO, 
add end user role to administrator;add<>A, end<>BO, user<>BO, role<>BO, to<>X, administrator<>REC,
add end user role to administrator;add<>A, end<>BO, user<>BO, role<>BO, to<>X, admin<>REC, 
add feedback;add<>A, feedback<>BO, 
add feedback to remedy ticket;add<>A, feedback<>BO, to<>X, remedy<>REC, ticket<>REC, 
add feedback to test results;add<>A, feedback<>BO, to<>X, test<>REC, results<>REC, 
add high priority invoice to outbox;add<>A, high<>BO, priority<>BO, invoice<>BO, to<>X, outbox<>REC, 
add invoice to outbox;add<>A, invoice<>BO, to<>X, outbox<>REC, 
add item to cart;add<>A, item<>BO, to<>X, cart<>REC, 
add league details;add<>A, league<>BO, details<>BO, 
add leagues;add<>A, leagues<>BO, 
add letter to the collection;add<>A, letter<>BO, to<>X, the<>X, collection<>REC, 
add medical incidents;add<>A, medical<>BO, incidents<>BO, 
add member to register;add<>A, member<>BO, to<>X, register<>REC, 
add members;add<>A, members<>BO, 
add new articles;add<>A, new<>BO, articles<>BO, 
add new device to vodafone portfolio;add<>A, new<>BO, device<>BO, to<>X, vodafone<>REC, portfolio<>REC, 
add new invoices to the bottom of your invoice batch;add<>A, new<>BO, invoices<>BO, to<>X, the<>X, bottom<>REC, of<>REC, your<>X, invoice<>REC, batch<>REC, 
add new member to register;add<>A, new<>BO, member<>BO, to<>X, register<>REC, 
add new member to the member register;add<>A, new<>BO, member<>BO, to<>X, the<>X, member<>BO, register<>BO, 
add new nba treatments to lcm;add<>A, new<>BO, nba<>BO, treatments<>BO, to<>X, lcm<>REC, 
add new team;add<>A, new<>BO, team<>BO, 
add new vendor master record;add<>A, new<>BO, vendor<>BO, master<>BO, record<>BO, 
add nfc complaint simcard to order;add<>A, nfc<>BO, complaint<>BO, simcard<>BO, to<>X, order<>REC, 
add number & date to letter book;add<>A, number<>BO, &<>BO, date<>BO, to<>X, letter<>REC, book<>REC, 
add on offering;add<>A, on<>A, offering<>BO, 
add on soc;add<>A, on<>A, soc<>BO, 
add order to bop;add<>A, order<>BO, to<>X, bop<>REC, 
add over head costs;add<>A, over<>BO, head<>BO, costs<>BO, 
add overhead cost;add<>A, overhead<>BO, cost<>BO, 
add overhead costs;add<>A, overhead<>BO, costs<>BO, 
add pagenwork and move package to pick area;add<>A, pagenwork<>BO, and<>X, move<>A, package<>BO, to<>X, pick<>REC, area<>REC, 
add paperwork and move package to pick area;add<>A, paperwork<>BO, and<>X, move<>A, package<>BO, to<>X, pick<>REC, area<>REC, 
add paperwork and movepackage to pick area;add<>A, paperwork<>BO, and<>X, movepackage<>A, to<>X, pick<>REC, area<>REC, 
add red stamp;add<>A, red<>BO, stamp<>BO, 
add registration into preparation courses;add<>A, registration<>BO, into<>X, preparation<>BO, courses<>BO, 
add registration into city tours;add<>A, registration<>BO, into<>X, city<>REC, tours<>REC, 
add regular simcard to the order;add<>A, regular<>BO, simcard<>BO, to<>X, the<>X, order<>REC, 
add related accessories;add<>A, related<>BO, accessories<>BO, 
add requested car to the list;add<>A, requested<>BO, car<>BO, to<>X, the<>X, list<>REC, 
add returned devices to stock;add<>A, returned<>BO, devices<>BO, to<>X, stock<>REC, 
add rfc to cab agenda;add<>A, rfc<>BO, to<>X, cab<>REC, agenda<>REC, 
add sap number to invoice entry form;add<>A, sap<>BO, number<>BO, to<>X, invoice<>REC, entry<>REC, form<>REC, 
add sap vendor number in invoice entry form;add<>A, sap<>BO, vendor<>BO, number<>BO, in<>X, invoice<>REC, entry<>REC, form<>REC, 
add sap vendor number to invoice entry form;add<>A, sap<>BO, vendor<>BO, number<>BO, to<>X, invoice<>REC, entry<>REC, form<>REC, 
add sap vendor number to the sap invoice entry form;add<>A, sap<>BO, vendor<>BO, number<>BO, to<>X, the<>X, sap<>REC, invoice<>REC, entry<>REC, form<>REC, 
add seasons;add<>A, seasons<>BO, 
add seat;add<>A, seat<>BO, 
add seats to airwatch;add<>A, seats<>BO, to<>X, airwatch<>REC, 
add seats to airwatch trial;add<>A, seats<>BO, to<>X, airwatch<>REC, trial<>REC, 
add some seasoning;add<>A, some<>BO, seasoning<>BO, 
add student details to class list for course;add<>A, student<>BO, details<>BO, to<>X, class<>REC, list<>REC, for<>X, course<>REC, 
add tax;add<>A, tax<>BO, 
add test numbers to one net vpn;add<>A, test<>BO, numbers<>BO, to<>X, one<>X, net<>REC, vpn<>REC, 
add to cart;add<>A, to<>X, cart<>BO, 
add to invoice entry form;add<>A, to<>X, invoice<>BO, entry<>BO, form<>BO, 
add to list of docs to be signed;add<>A, to<>X, list<>BO, of<>BO, docs<>BO, to<>X, be<>X, signed<>BO, 
add to waiting list;add<>A, to<>X, waiting<>BO, list<>BO, 
add to wish list;add<>A, to<>X, wish<>BO, list<>BO, 
add to current stock;add<>A, to<>A, current<>BO, stock<>BO, 
add to gemini;add<>A, to<>A, gemini<>BO, 
add to scrap stock;add<>A, to<>A, scrap<>BO, stock<>BO, 
add to service stock;add<>A, to<>A, service<>BO, stock<>BO, 
add treatment code to analytics;add<>A, treatment<>BO, code<>BO, to<>X, analytics<>REC, 
add vendor number;add<>A, vendor<>BO, number<>BO, 
add vf garant to order basket;add<>A, vf<>BO, garant<>BO, to<>X, order<>REC, basket<>REC, 
add vsdm seats soc;add<>A, vsdm<>BO, seats<>BO, soc<>BO, 
add vsdm setup support soc;add<>A, vsdm<>BO, setup<>BO, support<>BO, soc<>BO, 
add vsdm soc;add<>A, vsdm<>BO, soc<>BO, 
add vsdm trial seats soc;add<>A, vsdm<>BO, trial<>BO, seats<>BO, soc<>BO, 
add vsdm trial soc;add<>A, vsdm<>BO, trial<>BO, soc<>BO, 
add whitelist contacts optional;add<>A, whitelist<>BO, contacts<>BO, optional<>BO, 
add worker;add<>A, worker<>BO, 
added overhead cost;added<>A, overhead<>BO, cost<>BO, 
adding amount to the member register;adding<>A, amount<>BO, to<>X, the<>X, member<>REC, register<>REC, 
adding member to member register;adding<>A, member<>BO, to<>X, member<>REC, register<>REC, 
adding overhead cost;adding<>A, overhead<>BO, cost<>BO, 
adding the overhead cost;adding<>A, the<>X, overhead<>BO, cost<>BO, 
adding to calendar;adding<>A, to<>X, calendar<>BO, 
addition of the missing data;addition<>A, of<>BO, the<>X, missing<>BO, data<>BO, 
additional financial data transfer by flexible upload;additional<>BO, financial<>BO, data<>BO, transfer<>A, by<>X, flexible<>BO, upload<>BO, 
additional financial data transfer by online entry;additional<>BO, financial<>BO, data<>BO, transfer<>A, by<>X, online<>BO, entry<>BO, 
additional authorization of service;additional<>BO, authorization<>A, of<>BO, service<>BO, 
additional objective judgment;additional<>BO, objective<>BO, judgment<>A, 
address validation;address<>A, validation<>BO, 
address validation 2;address<>A, validation<>BO, 2<>X, 
adds new member to the member register;adds<>BO, new<>BO, member<>BO, to<>X, the<>X, member<>REC, register<>REC, 
adds in the member register;adds<>A, in<>X, the<>X, member<>BO, register<>BO, 
adds incoming mail num & date records letter archives it;adds<>BO, incoming<>BO, mail<>BO, num<>BO, &<>BO, date<>BO, records<>BO, letter<>BO, archives<>A, it<>X, 
adequate security (12.5%);adequate<>BO, security<>BO, (12.5%)<>A, 
adjust 3tm order;adjust<>A, 3tm<>BO, order<>BO, 
adjust dealer code;adjust<>A, dealer<>BO, code<>BO, 
adjust excel file;adjust<>A, excel<>BO, file<>BO, 
adjust hardware reservation;adjust<>A, hardware<>BO, reservation<>BO, 
adjust luggage to accommodate extra lags;adjust<>A, luggage<>BO, to<>X, accommodate<>BO, extra<>BO, lags<>BO, 
adjust luggage to accomodate extra lags;adjust<>A, luggage<>BO, to<>X, accomodate<>BO, extra<>BO, lags<>BO, 
adjust mass update template;adjust<>A, mass<>BO, update<>BO, template<>BO, 
adjust myvodafone;adjust<>A, myvodafone<>BO, 
adjust pr plan according to guerilla activities;adjust<>A, pr<>BO, plan<>BO, according<>BO, to<>X, guerilla<>BO, activities<>BO, 
adjust reservation;adjust<>A, reservation<>BO, 
adjust stock;adjust<>A, stock<>BO, 
adjust stock level;adjust<>A, stock<>BO, level<>BO, 
adjust surcharges and discounts by negotiating with customer;adjust<>A, surcharges<>BO, and<>X, discounts<>BO, by<>X, negotiating<>A, with<>X, customer<>REC, 
adjustment of payroll specifications;adjustment<>A, of<>X, payroll<>BO, specifications<>BO, 
administrate link order and retour and book item back in stock;administrate<>A, link<>BO, order<>BO, and<>X, retour<>BO, and<>X, book<>BO, item<>BO, back<>BO, in<>X, stock<>BO, 
administrate suspend;administrate<>A, suspend<>BO, 
administration of authorizations;administration<>A, of<>X, authorizations<>BO, 
administration of benefits plan participation;administration<>A, of<>X, benefits<>BO, plan<>BO, participation<>BO, 
adult;adult<>BO, 
advance payment / flat rates adjustment;advance<>BO, payment<>BO, /<>BO, flat<>BO, rates<>BO, adjustment<>A, 
advance payment;advance<>BO, payment<>BO, 
advertise job;advertise<>A, job<>BO, 
advertise position;advertise<>A, position<>BO, 
advertise through agencies;advertise<>A, through<>X, agencies<>BO, 
advertise through external nga.net;advertise<>A, through<>X, external<>BO, nga.net<>BO, 
advertise through external nta;advertise<>A, through<>X, external<>BO, nta<>BO, 
advertise through internal nga.net;advertise<>A, through<>X, internal<>BO, nga.net<>BO, 
advertise through internal nta;advertise<>A, through<>X, internal<>BO, nta<>BO, 
advise of ineligibility;advise<>A, of<>BO, ineligibility<>BO, 
advise applicants;advise<>A, applicants<>BO, 
advise change co-ordinator of result;advise<>A, change<>BO, co-ordinator<>BO, of<>BO, result<>BO, 
advise customer to go to vf shop;advise<>A, customer<>BO, to<>X, go<>X, to<>X, vf<>REC, shop<>REC, 
advise manager about signed appointment leeter;advise<>A, manager<>BO, about<>X, signed<>BO, appointment<>BO, leeter<>BO, 
advise on target group;advise<>A, on<>X, target<>BO, group<>BO, 
advise passenger whether lags are within acceptable limits;advise<>A, passenger<>BO, whether<>BO, lags<>BO, are<>X, within<>BO, acceptable<>BO, limits<>BO, 
advise that goods cannot be taken;advise<>A, that<>X, goods<>BO, cannot<>BO, be<>X, taken<>BO, 
advising applicants & receiving applications in temporary centers;advising<>A, applicants<>BO, &<>BO, receiving<>A, applications<>BO, in<>X, temporary<>BO, centers<>BO, 
advisor examine request;advisor<>BO, examine<>BO, request<>A, 
agent processing;agent<>BO, processing<>A, 
agent review;agent<>BO, review<>A, 
agent;agent<>BO, 
aggregate and process forecast;aggregate<>A, and<>A, process<>A, forecast<>BO, 
aggregate demand forecast;aggregate<>A, demand<>X, forecast<>BO, 
aggregate demand of all markets;aggregate<>A, demand<>X, of<>BO, all<>X, markets<>BO, 
agree on details;agree<>A, on<>A, details<>BO, 
agree on domain;agree<>A, on<>A, domain<>BO, 
agree on payment conditions;agree<>A, on<>A, payment<>BO, conditions<>BO, 
agree on team field;agree<>A, on<>A, team<>BO, field<>BO, 
agree on technical approach;agree<>A, on<>A, technical<>BO, approach<>BO, 
agree to terms and conditions;agree<>A, to<>A, terms<>BO, and<>X, conditions<>BO, 
agree upon a tem field;agree<>A, upon<>A, a<>BO, tem<>BO, field<>BO, 
agree upon team field;agree<>A, upon<>A, team<>BO, field<>BO, 
airport checkout possiblities;airport<>BO, checkout<>BO, possiblities<>A, 
alert technical engineer;alert<>A, technical<>BO, engineer<>BO, 
alert tevhnical engineer;alert<>A, tevhnical<>BO, engineer<>BO, 
alert the technical engineer;alert<>A, the<>X, technical<>BO, engineer<>BO, 
align sms sending with mobile water;align<>A, sms<>BO, sending<>BO, with<>X, mobile<>BO, water<>BO, 
align with vf;align<>A, with<>X, vf<>BO, 
all documents available;all<>BO, documents<>BO, available<>A, 
all parties accept;all<>BO, parties<>BO, accept<>A, 
all professor accept the time;all<>BO, professor<>BO, accept<>A, the<>X, time<>BO, 
allocate jobs to employee & start date to job;allocate<>BO, jobs<>BO, to<>X, employee<>REC, &<>BO, start<>BO, date<>BO, to<>X, job<>REC, 
allocate attonery;allocate<>A, attonery<>BO, 
allocate available numbers to pool;allocate<>A, available<>BO, numbers<>BO, to<>X, pool<>REC, 
allocate certifier;allocate<>A, certifier<>BO, 
allocate eln-subscriber id;allocate<>A, eln-subscriber<>BO, id<>BO, 
allocate invoices;allocate<>A, invoices<>BO, 
allocate invoices to data entry officer;allocate<>A, invoices<>BO, to<>X, data<>REC, entry<>REC, officer<>REC, 
allocate nff charges to repair order;allocate<>A, nff<>BO, charges<>BO, to<>X, repair<>BO, order<>BO, 
allocate repair cost to repair order;allocate<>A, repair<>BO, cost<>BO, to<>X, repair<>BO, order<>BO, 
allocate stock to sales orders;allocate<>A, stock<>BO, to<>X, sales<>REC, orders<>REC, 
allocate stock to vdcs;allocate<>A, stock<>BO, to<>X, vdcs<>REC, 
allocate stock to virtual dcs;allocate<>A, stock<>BO, to<>X, virtual<>REC, dcs<>REC, 
allocation run;allocation<>BO, run<>A, 
allocation and reposting of business event costs;allocation<>BO, and<>X, reposting<>A, of<>BO, business<>BO, event<>BO, costs<>BO, 
allocation of follow-up costs to semifinished and finished products;allocation<>A, of<>X, follow-up<>BO, costs<>BO, to<>X, semifinished<>REC, and<>X, finished<>REC, products<>REC, 
allow purchase;allow<>A, purchase<>BO, 
allow to communicate to professors;allow<>A, to<>X, communicate<>A, to<>X, professors<>REC, 
aluminum / plastic containers;aluminum<>BO, /<>BO, plastic<>BO, containers<>A, 
amdocs solve incident;amdocs<>BO, solve<>A, incident<>BO, 
amend baggage information;amend<>A, baggage<>BO, information<>BO, 
amortize asset;amortize<>A, asset<>BO, 
analyse;analyse<>A, 
analyse billing issue;analyse<>A, billing<>BO, issue<>BO, 
analyse business details;analyse<>A, business<>BO, details<>BO, 
